Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000750010,0,1,0,1
0.000755788,0,0,0,0
0.000755888,1,0,1,0
0.000761668,0,0,0,0
0.000761768,0,1,0,0
0.000761770,0,1,0,1
0.000767548,0,0,0,1
0.000767550,0,0,0,0
0.000767648,1,0,1,0
0.000773428,0,0,0,0
0.000773530,0,1,0,1
0.000779308,0,0,0,1
0.000779310,0,0,0,0
0.000779408,0,0,1,0
0.000779410,1,0,1,0
0.000785188,0,0,0,0
0.000785290,0,1,0,1
0.000791070,0,0,0,0
0.000791168,0,0,1,0
0.000791170,1,0,1,0
0.000796948,1,0,0,0
0.000796950,0,0,0,0
0.000797050,0,1,0,1
0.000802830,0,0,0,0
0.000802928,0,0,1,0
0.000802930,1,0,1,0
0.000808708,1,0,0,0
0.000808710,0,0,0,0
0.000808810,0,1,0,1
0.000814590,0,0,0,0
0.000814690,1,0,1,0
0.000820468,1,0,0,0
0.000820470,0,0,0,0
0.000820570,0,1,0,1
0.000826350,0,0,0,0
0.000826450,1,0,1,0
0.000832230,0,0,0,0
0.000832330,0,1,0,0
0.000832332,0,1,0,1
0.000838110,0,0,0,0
0.000838210,1,0,1,0
0.000843990,0,0,0,0
0.000844092,0,1,0,1
0.000849870,0,0,0,1
0.000849872,0,0,0,0
0.000849970,1,0,1,0
0.000855750,0,0,0,0
0.000855852,0,1,0,1
0.000861630,0,0,0,1
0.000861632,0,0,0,0
0.000861730,1,0,1,0
0.000867510,0,0,0,0
0.000867612,0,1,0,1
0.000873392,0,0,0,0
0.000873490,0,0,1,0
0.000873492,1,0,1,0
0.000879270,0,0,0,0
0.000879372,0,1,0,1
0.000885152,0,0,0,0
0.000885250,0,0,1,0
0.000885252,1,0,1,0
0.000891030,1,0,0,0
0.000891032,0,0,0,0
0.000891132,0,1,0,1
0.000896912,0,0,0,0
0.000897012,1,0,1,0
0.000902792,0,0,0,0
0.000902892,0,1,0,0
0.000902894,0,1,0,1
0.000908672,0,0,0,0
0.000908772,1,0,1,0
0.000914552,0,0,0,0
0.000914654,0,1,0,1
0.000920432,0,0,0,1
0.000920434,0,0,0,0
0.000920532,0,0,1,0
0.000920534,1,0,1,0
0.000926312,0,0,0,0
0.000926414,0,1,0,1
0.000932192,0,0,0,1
0.000932194,0,0,0,0
0.000932292,0,0,1,0
0.000932294,1,0,1,0
0.000938072,0,0,0,0
0.000938174,0,1,0,1
0.000943952,0,0,0,1
0.000943954,0,0,0,0
0.000944052,1,0,1,0
0.000949832,0,0,0,0
0.000949934,0,1,0,1
0.000955714,0,0,0,0
0.000955812,0,0,1,0
0.000955814,1,0,1,0
0.000961592,0,0,0,0
0.000961694,0,1,0,1
0.000967474,0,0,0,0
0.000967574,1,0,1,0
0.000973354,0,0,0,0
0.000973454,0,1,0,0
0.000973456,0,1,0,1
0.000979234,0,0,0,0
0.000979334,1,0,1,0
0.000985112,1,0,0,0
0.000985114,0,0,0,0
0.000985214,0,1,0,1
0.000990994,0,0,0,0
0.000991094,1,0,1,0
0.000996874,0,0,0,0
0.000996974,0,1,0,0
0.000996976,0,1,0,1
0.001002754,0,0,0,0
0.001002854,1,0,1,0
0.001008634,0,0,0,0
0.001008734,0,1,0,0
0.001008736,0,1,0,1
0.001014514,0,0,0,1
0.001014516,0,0,0,0
0.001014614,1,0,1,0
0.001020394,0,0,0,0
0.001020496,0,1,0,1
0.001026276,0,0,0,0
0.001026374,0,0,1,0
0.001026376,1,0,1,0
0.001032154,1,0,0,0
0.001032156,0,0,0,0
0.001032256,0,1,0,1
0.001038036,0,0,0,0
0.001038136,1,0,1,0
0.001043914,1,0,0,0
0.001043916,0,0,0,0
0.001044016,0,1,0,1
0.001049796,0,0,0,0
0.001049896,1,0,1,0
0.001055674,1,0,0,0
0.001055676,0,0,0,0
0.001055776,0,1,0,1
0.001061556,0,0,0,0
0.001061656,1,0,1,0
0.001067436,0,0,0,0
0.001067538,0,1,0,1
0.001073316,0,0,0,1
0.001073318,0,0,0,0
0.001073416,1,0,1,0
0.001079196,0,0,0,0
0.001079298,0,1,0,1
0.001085076,0,0,0,1
0.001085078,0,0,0,0
0.001085176,1,0,1,0
0.001090956,0,0,0,0
0.001091058,0,1,0,1
0.001096836,0,0,0,1
0.001096838,0,0,0,0
0.001096936,1,0,1,0
0.001102716,0,0,0,0
0.001102818,0,1,0,1
0.001108598,0,0,0,0
0.001108696,0,0,1,0
0.001108698,1,0,1,0
0.001114476,1,0,0,0
0.001114478,0,0,0,0
0.001114578,0,1,0,1
0.001120358,0,0,0,0
0.001120458,1,0,1,0
0.001126236,1,0,0,0
0.001126238,0,0,0,0
0.001126338,0,1,0,1
0.001132118,0,0,0,0
0.001132218,1,0,1,0
0.001137996,1,0,0,0
0.001137998,0,0,0,0
0.001138098,0,1,0,1
0.001143878,0,0,0,0
0.001143978,1,0,1,0
0.001149758,0,0,0,0
0.001149858,0,1,0,0
0.001149860,0,1,0,1
0.001155638,0,0,0,0
0.001155738,1,0,1,0
0.001161518,0,0,0,0
0.001161618,0,1,0,0
0.001161620,0,1,0,1
0.001167398,0,0,0,1
0.001167400,0,0,0,0
0.001167498,1,0,1,0
0.001173278,0,0,0,0
0.001173380,0,1,0,1
0.001179158,0,0,0,1
0.001179160,0,0,0,0
0.001179258,1,0,1,0
0.001185038,0,0,0,0
0.001185140,0,1,0,1
0.001190920,0,0,0,0
0.001191020,1,0,1,0
0.001196798,1,0,0,0
0.001196800,0,0,0,0
0.001196900,0,1,0,1
0.001202680,0,0,0,0
0.001202780,1,0,1,0
0.001208560,0,0,0,0
0.001208660,0,1,0,0
0.001208662,0,1,0,1
0.001214440,0,0,0,0
0.001214540,1,0,1,0
0.001220320,0,0,0,0
0.001220420,0,1,0,0
0.001220422,0,1,0,1
0.001226200,0,0,0,0
0.001226300,1,0,1,0
0.001232080,0,0,0,0
0.001232182,0,1,0,1
0.001237960,0,0,0,1
0.001237962,0,0,0,0
0.001238060,1,0,1,0
0.001243840,0,0,0,0
0.001243942,0,1,0,1
0.001249720,0,0,0,1
0.001249722,0,0,0,0
0.001249820,0,0,1,0
0.001249822,1,0,1,0
0.001255600,0,0,0,0
0.001255702,0,1,0,1
0.001261480,0,0,0,1
0.001261482,0,0,0,0
0.001261580,0,0,1,0
0.001261582,1,0,1,0
0.001267360,0,0,0,0
0.001267462,0,1,0,1
0.001273240,0,0,0,1
0.001273242,0,0,0,0
0.001273340,0,0,1,0
0.001273342,1,0,1,0
0.001279120,0,0,0,0
0.001279222,0,1,0,1
0.001285002,0,0,0,0
0.001285100,0,0,1,0
0.001285102,1,0,1,0
0.001290880,1,0,0,0
0.001290882,0,0,0,0
0.001290982,0,1,0,1
0.001296762,0,0,0,0
0.001296862,1,0,1,0
0.001302642,0,0,0,0
0.001302742,0,1,0,0
0.001302744,0,1,0,1
0.001308522,0,0,0,0
0.001308622,1,0,1,0
0.001314402,0,0,0,0
